years_since_founded,funding_rounds,funding_total_usd,milestones,has_invested_other_companies,description,last_raised_amount_usd,last_funding_participants_cnt,category_code,last_funding_round_type,is_ipo_or_acquired
3.0,4,8204000.0,4.0,0,"Launched Betabrand.com, replacing Cordarounds.com",215000.0,0,ecommerce,venture,0
2.0,2,1650000.0,,0,nan,1000000.0,0,social,angel,0
1.0,2,200000.0,1.0,0,nan,100000.0,1,web,angel,0
2.0,1,1700000.0,2.0,0,nan,1700000.0,1,analytics,series-a,0
4.0,3,461500.0,1.0,0,nan,,1,software,angel,0
1.0,1,,1.0,0,nan,,0,games_video,angel,0
1.0,2,15515000.0,2.0,0,nan,515000.0,3,mobile,series-a,0
3.0,2,8000000.0,2.0,0,nan,3000000.0,1,analytics,series-a,0
3.0,5,4715359.0,,0,nan,1598000.0,1,social,series-a,0
8.0,1,2870000.0,,0,nan,2870000.0,0,web,venture,0
2.0,4,76250000.0,2.0,0,nan,13750000.0,2,software,series-a,0
7.0,3,15260000.0,3.0,0,nan,4000000.0,3,ecommerce,series-a,0
,1,3400000.0,1.0,0,nan,3400000.0,1,ecommerce,venture,0
6.0,1,3400000.0,1.0,0,nan,3400000.0,0,ecommerce,venture,0
5.0,2,9000000.0,3.0,0,BillShrink.com service shut down.,1000000.0,1,web,series-a,0
3.0,4,10304545.0,1.0,0,nan,1100000.0,0,analytics,venture,1
3.0,2,50000.0,2.0,0,nan,50000.0,1,software,angel,0
5.0,1,,,0,nan,,1,software,series-a,0
,2,800000.0,1.0,0,nan,,2,games_video,angel,0
2.0,1,350000.0,1.0,0,nan,350000.0,0,web,angel,0
8.0,3,40750000.0,5.0,0,"BitTorrent grows to over 100 million active users BitTorrent Sync hits 1M users, gets faster, adds API, and adds iPad support",8750000.0,1,web,series-a,0
,1,,1.0,0,nan,,1,software,angel,0
,1,180000.0,,0,nan,180000.0,0,mobile,venture,0
2.0,2,870000.0,2.0,0,nan nan,435000.0,8,software,angel,0
1.0,1,100000.0,,0,nan,100000.0,0,software,venture,0
,1,660000.0,,0,nan,660000.0,0,software,venture,0
14.0,1,3500000.0,,0,nan,3500000.0,1,security,venture,1
